2006,27005,990020000,SUBURBAN T B SANITARIUM,0.005,10.845,Oak Park,17,8.4,2.7076
2006,27005,90010000,DES PLAINES VALLEY MOSQ ABATEMENT DIST,0.012,10.845,Oak Park,17,8.4,2.7076
2006,27005,80180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.284,10.845,Oak Park,17,8.4,2.7076
2006,27005,50760000,OAK PARK PARK DISTRICT,0.435,10.845,Oak Park,17,8.4,2.7076
2006,27005,43020000,TRITON COMM COLL DISTR 504,0.24,10.845,Oak Park,17,8.4,2.7076
2006,27005,42020000,CONSOLIDATED HIGH SCHOOL 200,2.905,10.845,Oak Park,17,8.4,2.7076
2006,27005,40580000,SCHOOL DISTRICT 97,3.136,10.845,Oak Park,17,8.4,2.7076
2006,27005,30920500,TIF VIL OF OAK PARK-GREATER MALL AREA,0,10.845,Oak Park,17,8.4,2.7076
2006,27005,30920100,VILLAGE OF OAK PARK SPECIAL SERVICES AREA 1,1.39,10.845,Oak Park,17,8.4,2.7076
2006,27005,30920001,VILLAGE OF OAK PARK LIBRARY FUND,0.521,10.845,Oak Park,17,8.4,2.7076
2006,27005,30920000,VILLAGE OF OAK PARK,1.119,10.845,Oak Park,17,8.4,2.7076
2006,27005,20180004,OAK PARK MENTAL HEALTH DISTRICT,0.087,10.845,Oak Park,17,8.4,2.7076
2006,27005,20180002,GENERAL ASSISTANCE OAK PARK,0.028,10.845,Oak Park,17,8.4,2.7076
2006,27005,10020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.057,10.845,Oak Park,17,8.4,2.7076
2006,27005,10010000,COUNTY OF COOK,0.5,10.845,Oak Park,17,8.4,2.7076
2006,27005,10010001,CONSOLIDATED ELECTIONS,0,10.845,Oak Park,17,8.4,2.7076
2006,27002,990020000,SUBURBAN T B SANITARIUM,0.005,10.845,Oak Park,16,8.4,2.7076
2006,27002,90010000,DES PLAINES VALLEY MOSQ ABATEMENT DIST,0.012,10.845,Oak Park,16,8.4,2.7076
2006,27002,80180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.284,10.845,Oak Park,16,8.4,2.7076
2006,27002,50760000,OAK PARK PARK DISTRICT,0.435,10.845,Oak Park,16,8.4,2.7076
2006,27002,43020000,TRITON COMM COLL DISTR 504,0.24,10.845,Oak Park,16,8.4,2.7076
2006,27002,42020000,CONSOLIDATED HIGH SCHOOL 200,2.905,10.845,Oak Park,16,8.4,2.7076
2006,27002,40580000,SCHOOL DISTRICT 97,3.136,10.845,Oak Park,16,8.4,2.7076
2006,27002,30920100,VILLAGE OF OAK PARK SPECIAL SERVICES AREA 1,1.39,10.845,Oak Park,16,8.4,2.7076
2006,27002,30920001,VILLAGE OF OAK PARK LIBRARY FUND,0.521,10.845,Oak Park,16,8.4,2.7076
2006,27002,30920000,VILLAGE OF OAK PARK,1.119,10.845,Oak Park,16,8.4,2.7076
2006,27002,20180004,OAK PARK MENTAL HEALTH DISTRICT,0.087,10.845,Oak Park,16,8.4,2.7076
2006,27002,20180002,GENERAL ASSISTANCE OAK PARK,0.028,10.845,Oak Park,16,8.4,2.7076
2006,27002,20180000,TOWN OAK PARK,0.126,10.845,Oak Park,16,8.4,2.7076
2006,27002,10020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.057,10.845,Oak Park,16,8.4,2.7076
2006,27002,10010001,CONSOLIDATED ELECTIONS,0,10.845,Oak Park,16,8.4,2.7076
2006,27002,10010000,COUNTY OF COOK,0.5,10.845,Oak Park,16,8.4,2.7076
2006,27005,20180000,TOWN OAK PARK,0.126,10.845,Oak Park,17,8.4,2.7076
2006,27001,10010000,COUNTY OF COOK,0.5,9.455,Oak Park,15,8.4,2.7076
2006,27001,10010001,CONSOLIDATED ELECTIONS,0,9.455,Oak Park,15,8.4,2.7076
2006,27001,10020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.057,9.455,Oak Park,15,8.4,2.7076
2006,27001,20180002,GENERAL ASSISTANCE OAK PARK,0.028,9.455,Oak Park,15,8.4,2.7076
2006,27003,30920000,VILLAGE OF OAK PARK,1.119,9.455,Oak Park,16,8.4,2.7076
2006,27003,20180004,OAK PARK MENTAL HEALTH DISTRICT,0.087,9.455,Oak Park,16,8.4,2.7076
2006,27003,20180002,GENERAL ASSISTANCE OAK PARK,0.028,9.455,Oak Park,16,8.4,2.7076
2006,27003,20180000,TOWN OAK PARK,0.126,9.455,Oak Park,16,8.4,2.7076
2006,27003,10020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.057,9.455,Oak Park,16,8.4,2.7076
2006,27003,10010001,CONSOLIDATED ELECTIONS,0,9.455,Oak Park,16,8.4,2.7076
2006,27003,10010000,COUNTY OF COOK,0.5,9.455,Oak Park,16,8.4,2.7076
2006,27001,990020000,SUBURBAN T B SANITARIUM,0.005,9.455,Oak Park,15,8.4,2.7076
